same: raw:[0, 123442346798] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, -67, -68, -69, 46] md5:[0, 0, 0, 0, 70, -2, -40, -52, 95, -8, 7, -42, 47, -69, -37, -67]
same: raw:[0, 132819701669] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, -20, -85, -49, -91] md5:[0, 0, 0, 0, 38, -5, 80, 70, 83, -17, 67, 67, 76, -100, 20, 3]
same: raw:[0, 121546612476] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 76, -66, 30, -4] md5:[0, 0, 0, 0, -114, 85, -28, -27, 62, -53, 113, 98, -10, 20, -38, -36]
same: raw:[0, 126649713462] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 124, -23, 67, 54] md5:[0, 0, 0, 0, -61, 71, -30, 70, -14, -71, 9, 89, 31, 73, 85, -89]
same: raw:[0, 122832301101] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, -103, 96, 44, 45] md5:[0, 0, 0, 0, 43, 115, 101, -26, 71, -85, 44, -70, 80, -10, -26, 75]
same: raw:[0, 124955261231] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 23, -23, -7, 47] md5:[0, 0, 0, 0, -4, 110, -41, 85, -60, 5, -98, -103, -42, 42, -69, -112]
same: raw:[0, 128234682921] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, -37, 97, -6, 41] md5:[0, 0, 0, 0, -36, -116, 114, 46, -68, -75, -85, -112, -49, -11, 42, -114]
same: raw:[0, 153675776530] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, -57, -54, 66, 18] md5:[0, 0, 0, 0, 17, -118, 94, -126, -46, -107, -80, -64, -101, -22, -63, 96]
same: raw:[0, 172391055030] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 35, 78, -66, -74] md5:[0, 0, 0, 0, 68, -45, 4, 88, 112, -12, 60, 54, 102, -82, -127, -28]
same: raw:[0, 166953426128] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, -33, 51, 28, -48] md5:[0, 0, 0, 0, 61, 70, 122, -54, -36, 75, -21, -48, 33, 2, -9, -126]
same: raw:[0, 171829527739] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 1, -42, -124, -69] md5:[0, 0, 0, 0, -119, -82, 114, 35, 3, -98, -20, -28, 65, 4, 63, -59]
same: raw:[0, 158460734865] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, -28, -2, -19, -111] md5:[0, 0, 0, 0, -49, 106, -56, -46, -109, -86, 22, -123, 68, 63, 4, 3]
same: raw:[0, 168961206087] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 86, -33, 103, 71] md5:[0, 0, 0, 0, -102, -58, -123, 9, -21, 124, 59, -63, -109, -82, -75, 48]
same: raw:[0, 196798739240] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, -46, 30, 115, 40] md5:[0, 0, 0, 0, 62, 12, 16, 15, -89, 73, -81, 25, 39, -25, 43, -105]
same: raw:[0, 184388725302] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, -18, 108, -86, 54] md5:[0, 0, 0, 0, 22, 56, -71, -118, -62, -45, 56, 58, 46, -57, -83, -108]
same: raw:[0, 185306475482] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 37, 32, 107, -38] md5:[0, 0, 0, 0, -18, 118, -119, 61, -116, -48, -128, 31, 58, -12, -113, 0]
same: raw:[0, 178399460957] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, -119, 111, -66, 93] md5:[0, 0, 0, 0, -7, 39, -52, -44, 98, -61, 51, 97, 47, -122, 51, -38]
same: raw:[0, 205138203329] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, -61, 48, -110, -63] md5:[0, 0, 0, 0, 47, 103, 125, 100, -63, -114, -12, -44, -120, 33, -76, 66]
